region_name,longitude,latitude,time_period,mmm,prob_dhw_4,prob_dhw_8,no_dhw_days_4,no_dhw_days_8,seas_sst_var,int_sst_var,trend_ann_sst,p_value
Caribbean,-77.3,8.57,1985-2019,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN
Caribbean,-77.29,8.57,1985-2019,29.0771789622751,0,0,0,0,0.589,0.131,0.012,0.002
Caribbean,-77.3,8.58,1985-2019,29.0818842974065,0,0,0,0,0.591,0.131,0.012,0.002
Caribbean,-77.29,8.58,1985-2019,29.0787146706842,0,0,0,0,0.589,0.132,0.012,0.002
Caribbean,-76.9,8.62,1985-2019,29.2002726100548,0,0,0,0,0.563,0.144,0.013,0.006
Caribbean,-76.89,8.62,1985-2019,29.2089339884583,0,0,0,0,0.563,0.143,0.013,0.006
Caribbean,-76.88,8.62,1985-2019,29.2118102619805,0,0,0,0,0.563,0.142,0.013,0.006
Caribbean,-77.35,8.63,1985-2019,29.0894125692921,0,0,0,0,0.601,0.134,0.012,0.001
Caribbean,-77.34,8.63,1985-2019,29.0887917687074,0,0,0,0,0.601,0.134,0.012,0.001
Caribbean,-76.9,8.63,1985-2019,29.2049230581463,0,0,0,0,0.564,0.145,0.013,0.006
Caribbean,-76.89,8.63,1985-2019,29.2135414252892,0,0,0,0,0.563,0.144,0.013,0.006
Caribbean,-77.35,8.64,1985-2019,29.0902272182576,0,0,0,0,0.601,0.134,0.012,0.001
Caribbean,-77.34,8.64,1985-2019,29.0891250254233,0,0,0,0,0.601,0.134,0.012,0.001
Caribbean,-76.9,8.64,1985-2019,29.2089802833352,0,0,0,0,0.564,0.146,0.013,0.006
Caribbean,-76.89,8.64,1985-2019,29.2175930439099,0,0,0,0,0.563,0.145,0.013,0.006
Caribbean,-77.35,8.65,1985-2019,29.0970534557709,0,0,0,0,0.601,0.134,0.012,0.001
Caribbean,-77.34,8.65,1985-2019,29.0936203621447,0,0,0,0,0.602,0.135,0.012,0.001
Caribbean,-76.9,8.65,1985-2019,29.2129587399535,0,0,0,0,0.565,0.147,0.013,0.006
Caribbean,-76.89,8.65,1985-2019,29.2219055428617,0,0,0,0,0.564,0.146,0.013,0.006
Caribbean,-77.37,8.66,1985-2019,29.1015362007563,0,0,0,0,0.605,0.135,0.012,0.001
Caribbean,-77.36,8.66,1985-2019,29.1022963086864,0,0,0,0,0.605,0.135,0.012,0.001
Caribbean,-77.36,8.67,1985-2019,29.1038036035012,0,0,0,0,0.605,0.136,0.012,0.001
Caribbean,-77.55,8.72,1985-2019,29.1195736201478,0,0,0,0,0.614,0.133,0.011,0.002
Caribbean,-76.64,8.72,1985-2019,29.3248934874822,0,0,0,0,0.521,0.137,0.013,0.005
Caribbean,-76.63,8.72,1985-2019,29.3226638537612,0,0,0,0,0.521,0.136,0.013,0.005
Caribbean,-76.64,8.73,1985-2019,29.3242439722624,0,0,0,0,0.523,0.139,0.014,0.005
Caribbean,-76.63,8.73,1985-2019,29.323906034034,0,0,0,0,0.52,0.138,0.013,0.005
Caribbean,-76.64,8.74,1985-2019,29.3219059798605,0,0,0,0,0.524,0.141,0.014,0.005
Caribbean,-76.63,8.74,1985-2019,29.3225155537785,0,0,0,0,0.522,0.14,0.014,0.005
Caribbean,-76.61,8.74,1985-2019,29.3220477779685,0,0,0,0,0.517,0.139,0.013,0.005
Caribbean,-76.6,8.74,1985-2019,29.3235670685176,0,0,0,0,0.514,0.138,0.013,0.006
Caribbean,-77.54,8.75,1985-2019,29.1442794756915,0,0,0,0,0.615,0.136,0.011,0.002
Caribbean,-77.53,8.75,1985-2019,29.1428496225297,0,0,0,0,0.616,0.137,0.011,0.002
Caribbean,-77.54,8.76,1985-2019,29.1491180450192,0,0,0,0,0.617,0.137,0.011,0.002
Caribbean,-77.53,8.76,1985-2019,29.1484920241307,0,0,0,0,0.617,0.138,0.011,0.002
Caribbean,-77.56,8.77,1985-2019,29.1558607737867,0,0,0,0,0.618,0.137,0.01,0.003
Caribbean,-77.55,8.77,1985-2019,29.1550368300456,0,0,0,0,0.618,0.138,0.011,0.003
Caribbean,-77.54,8.77,1985-2019,29.1547701332987,0,0,0,0,0.618,0.139,0.011,0.003
Caribbean,-81.31,8.78,1985-2019,28.9004445568208,0.03,0,62,0,0.588,0.125,0.01,0.001
Caribbean,-81.3,8.78,1985-2019,28.8979053459588,0.03,0,63,0,0.59,0.125,0.01,0.001
Caribbean,-77.56,8.78,1985-2019,29.1610455873135,0,0,0,0,0.619,0.139,0.011,0.003
Caribbean,-77.55,8.78,1985-2019,29.1605685141845,0,0,0,0,0.619,0.139,0.011,0.003
Caribbean,-81.34,8.79,1985-2019,28.9055945876154,0.03,0,62,0,0.584,0.124,0.01,0.001
Caribbean,-81.33,8.79,1985-2019,28.903061694958,0.03,0,62,0,0.586,0.125,0.01,0.001
Caribbean,-81.32,8.79,1985-2019,28.9000306513839,0.03,0,62,0,0.587,0.126,0.01,0.001
Caribbean,-81.31,8.79,1985-2019,28.8976144164039,0.03,0,63,0,0.589,0.126,0.01,0.001
Caribbean,-81.3,8.79,1985-2019,28.8950934451688,0.03,0,64,0,0.59,0.126,0.01,0.001
Caribbean,-81.29,8.79,1985-2019,28.8935962681153,0.03,0,64,0,0.591,0.126,0.01,0.001
Caribbean,-81.28,8.79,1985-2019,28.8918279072149,0.03,0,64,0,0.591,0.127,0.01,0.001
Caribbean,-81.27,8.79,1985-2019,28.8941604204543,0.03,0,64,0,0.596,0.127,0.01,0.001
Caribbean,-81.26,8.79,1985-2019,28.892083381726,0.03,0,64,0,0.597,0.127,0.01,0.001
Caribbean,-81.25,8.79,1985-2019,28.8900145467187,0.03,0,64,0,0.598,0.127,0.01,0.001
Caribbean,-81.17,8.79,1985-2019,28.8862181108475,0.03,0,64,0,0.612,0.125,0.01,0.001
Caribbean,-81.16,8.79,1985-2019,28.8887451972861,0.03,0,64,0,0.613,0.124,0.01,0.001
Caribbean,-77.58,8.79,1985-2019,29.1679046492283,0,0,0,0,0.62,0.138,0.01,0.004
Caribbean,-77.57,8.79,1985-2019,29.1675168377842,0,0,0,0,0.62,0.139,0.01,0.003
Caribbean,-81.29,8.8,1985-2019,28.89361412869,0.03,0,64,0,0.594,0.128,0.01,0.001
Caribbean,-81.28,8.8,1985-2019,28.891824833098,0.03,0,64,0,0.594,0.128,0.01,0.001
Caribbean,-81.27,8.8,1985-2019,28.8910697043532,0.03,0,64,0,0.596,0.128,0.01,0.001
Caribbean,-81.26,8.8,1985-2019,28.8901592599015,0.03,0,64,0,0.597,0.128,0.01,0.001
Caribbean,-81.25,8.8,1985-2019,28.8880890591452,0.03,0,64,0,0.599,0.128,0.01,0.001
