region_name,longitude,latitude,time_period,mmm,prob_dhw_4,prob_dhw_8,no_dhw_days_4,no_dhw_days_8,seas_sst_var,int_sst_var,trend_ann_sst,p_value
Caribbean,-68.25,12.02,1985-2019,28.417059120656,0.2,0.03,422,60,0.883,0.257,0.022,0.001
Caribbean,-68.24,12.02,1985-2019,28.4168427300457,0.2,0.03,422,59,0.884,0.257,0.022,0.001
Caribbean,-68.26,12.03,1985-2019,28.4155635686776,0.2,0.03,440,61,0.882,0.257,0.022,0.001
Caribbean,-68.25,12.03,1985-2019,28.4153697022785,0.2,0.03,421,61,0.883,0.257,0.022,0.001
Caribbean,-68.24,12.03,1985-2019,28.4150621101347,0.2,0.03,419,59,0.883,0.257,0.022,0.001
Caribbean,-68.23,12.03,1985-2019,28.4147382980321,0.23,0.06,496,98,0.883,0.257,0.022,0.001
Caribbean,-68.27,12.04,1985-2019,28.4137266674638,0.2,0.03,428,60,0.881,0.257,0.022,0.001
Caribbean,-68.26,12.04,1985-2019,28.4125814602494,0.2,0.03,437,60,0.882,0.257,0.022,0.001
Caribbean,-68.23,12.04,1985-2019,28.4141583545553,0.23,0.03,498,61,0.882,0.257,0.022,0.001
Caribbean,-68.22,12.04,1985-2019,28.4148189672175,0.26,0.06,496,101,0.882,0.257,0.022,0.001
Caribbean,-68.28,12.05,1985-2019,28.4121410826712,0.17,0.03,350,60,0.881,0.257,0.022,0.001
Caribbean,-68.27,12.05,1985-2019,28.4105396519377,0.2,0.03,395,60,0.881,0.257,0.022,0.001
Caribbean,-68.22,12.05,1985-2019,28.4140972218893,0.23,0.06,463,98,0.881,0.257,0.022,0.001
Caribbean,-68.28,12.06,1985-2019,28.4101174135344,0.17,0.03,353,59,0.881,0.257,0.022,0.001
Caribbean,-68.23,12.06,1985-2019,28.4127233491268,0.2,0.03,463,61,0.88,0.256,0.022,0.001
Caribbean,-68.22,12.06,1985-2019,28.4144401104057,0.2,0.06,471,98,0.88,0.256,0.022,0.001
Caribbean,-68.28,12.07,1985-2019,28.4069912303079,0.14,0.03,309,59,0.881,0.257,0.022,0.001
Caribbean,-68.23,12.07,1985-2019,28.4107429773707,0.2,0.06,465,98,0.88,0.256,0.022,0.001
