region_name,longitude,latitude,ACCESS_CM2,ACCESS_ESM1_5,BCC_CSM2_MR,CanESM5,CESM2_WACCM,CMCC_CM2_SR5,EC_Earth3,EC_Earth3_Veg,GFDL_CM4,IPSL_CM6A_LR,MRI_ESM2_0,NESM3,NorESM2_LM,NorESM2_MM
Caribbean,-68.25,12.02,28.839,28.304,28.609,28.76,28.543,28.67,28.19,28.496,28.441,28.385,28.761,28.564,28.302,28.502
Caribbean,-68.24,12.02,28.843,28.306,28.613,28.764,28.546,28.674,28.192,28.499,28.444,28.389,28.764,28.566,28.304,28.505
Caribbean,-68.26,12.03,28.831,28.299,28.601,28.752,28.536,28.664,28.185,28.489,28.435,28.378,28.753,28.558,28.296,28.494
Caribbean,-68.25,12.03,28.835,28.301,28.605,28.756,28.539,28.669,28.187,28.492,28.438,28.382,28.757,28.56,28.298,28.497
Caribbean,-68.24,12.03,28.839,28.303,28.609,28.761,28.542,28.674,28.189,28.495,28.441,28.386,28.761,28.563,28.3,28.501
Caribbean,-68.23,12.03,28.843,28.306,28.613,28.765,28.545,28.679,28.191,28.498,28.445,28.39,28.764,28.565,28.303,28.504
Caribbean,-68.27,12.04,28.825,28.294,28.595,28.744,28.529,28.66,28.182,28.483,28.43,28.372,28.747,28.552,28.291,28.488
Caribbean,-68.26,12.04,28.827,28.295,28.597,28.747,28.531,28.663,28.182,28.485,28.432,28.375,28.749,28.554,28.292,28.49
Caribbean,-68.23,12.04,28.84,28.303,28.61,28.762,28.542,28.679,28.188,28.495,28.443,28.388,28.761,28.562,28.299,28.501
Caribbean,-68.22,12.04,28.845,28.306,28.614,28.767,28.545,28.684,28.19,28.498,28.446,28.392,28.765,28.565,28.302,28.504
Caribbean,-68.28,12.05,28.819,28.292,28.59,28.738,28.524,28.656,28.18,28.479,28.427,28.368,28.742,28.548,28.288,28.483
Caribbean,-68.27,12.05,28.82,28.291,28.591,28.74,28.525,28.659,28.179,28.479,28.428,28.369,28.742,28.548,28.287,28.484
Caribbean,-68.22,12.05,28.843,28.304,28.611,28.764,28.543,28.685,28.189,28.496,28.444,28.39,28.763,28.562,28.299,28.501
Caribbean,-68.28,12.06,28.815,28.289,28.586,28.734,28.52,28.656,28.178,28.475,28.425,28.366,28.737,28.545,28.284,28.479
Caribbean,-68.23,12.06,28.837,28.3,28.606,28.758,28.537,28.682,28.185,28.491,28.441,28.386,28.757,28.557,28.295,28.496
Caribbean,-68.22,12.06,28.842,28.303,28.61,28.763,28.541,28.688,28.188,28.494,28.444,28.39,28.762,28.561,28.298,28.5
Caribbean,-68.28,12.07,28.812,28.287,28.582,28.731,28.517,28.655,28.176,28.472,28.423,28.364,28.734,28.541,28.281,28.476
Caribbean,-68.23,12.07,28.836,28.299,28.604,28.757,28.535,28.684,28.184,28.489,28.44,28.385,28.756,28.555,28.292,28.494
Caribbean,-68.22,12.07,28.841,28.303,28.609,28.763,28.539,28.69,28.187,28.493,28.444,28.39,28.761,28.56,28.296,28.498
Caribbean,-68.28,12.08,28.808,28.284,28.579,28.727,28.513,28.655,28.174,28.468,28.421,28.362,28.73,28.537,28.278,28.472
Caribbean,-68.23,12.08,28.835,28.298,28.603,28.756,28.534,28.686,28.183,28.488,28.44,28.385,28.755,28.554,28.291,28.493
Caribbean,-68.29,12.09,28.804,28.283,28.576,28.723,28.51,28.653,28.174,28.466,28.419,28.359,28.726,28.535,28.276,28.469
Caribbean,-68.28,12.09,28.805,28.282,28.576,28.724,28.51,28.655,28.172,28.466,28.419,28.36,28.727,28.533,28.274,28.469
Caribbean,-68.23,12.09,28.833,28.296,28.601,28.753,28.531,28.687,28.182,28.486,28.439,28.384,28.753,28.551,28.288,28.49
Caribbean,-68.29,12.1,28.8,28.28,28.572,28.719,28.506,28.652,28.171,28.462,28.417,28.357,28.722,28.53,28.272,28.465
Caribbean,-68.28,12.1,28.801,28.278,28.573,28.72,28.506,28.654,28.169,28.462,28.417,28.358,28.723,28.529,28.271,28.465
Caribbean,-68.24,12.1,28.822,28.289,28.591,28.743,28.522,28.678,28.176,28.477,28.432,28.376,28.742,28.542,28.28,28.481
Caribbean,-68.23,12.1,28.829,28.293,28.597,28.75,28.527,28.686,28.179,28.482,28.436,28.381,28.749,28.547,28.284,28.486
Caribbean,-68.22,12.1,28.834,28.296,28.602,28.755,28.531,28.692,28.181,28.486,28.44,28.386,28.754,28.55,28.287,28.49
Caribbean,-68.21,12.1,28.838,28.299,28.605,28.759,28.533,28.696,28.183,28.488,28.442,28.388,28.757,28.553,28.35,28.492
Caribbean,-68.3,12.11,28.797,28.28,28.569,28.715,28.503,28.651,28.172,28.46,28.416,28.355,28.719,28.529,28.272,28.463
Caribbean,-68.29,12.11,28.796,28.276,28.567,28.714,28.501,28.651,28.168,28.458,28.414,28.354,28.718,28.525,28.268,28.461
Caribbean,-68.21,12.11,28.833,28.295,28.6,28.754,28.528,28.694,28.179,28.483,28.438,28.385,28.752,28.548,28.345,28.487
Caribbean,-68.2,12.11,28.835,28.295,28.602,28.757,28.529,28.697,28.179,28.484,28.439,28.387,28.753,28.549,28.347,28.488
Caribbean,-68.3,12.12,28.793,28.276,28.565,28.711,28.499,28.649,28.169,28.456,28.413,28.352,28.715,28.524,28.267,28.458
Caribbean,-68.29,12.12,28.791,28.273,28.563,28.71,28.497,28.649,28.164,28.453,28.41,28.351,28.713,28.52,28.263,28.456
Caribbean,-68.2,12.12,28.83,28.291,28.597,28.752,28.524,28.695,28.174,28.479,28.436,28.383,28.748,28.543,28.341,28.483
Caribbean,-68.19,12.12,28.832,28.291,28.598,28.754,28.525,28.697,28.174,28.479,28.436,28.384,28.749,28.544,28.342,28.484
Caribbean,-68.29,12.13,28.787,28.269,28.559,28.705,28.492,28.648,28.161,28.449,28.408,28.348,28.709,28.516,28.259,28.452
Caribbean,-68.28,12.13,28.788,28.268,28.56,28.707,28.493,28.65,28.159,28.449,28.408,28.349,28.709,28.515,28.258,28.452
Caribbean,-68.2,12.13,28.826,28.286,28.592,28.747,28.519,28.693,28.17,28.474,28.432,28.38,28.743,28.538,28.336,28.478
Caribbean,-68.19,12.13,28.828,28.287,28.661,28.749,28.521,28.696,28.17,28.475,28.433,28.381,28.745,28.539,28.337,28.479
Caribbean,-68.31,12.14,28.79,28.278,28.562,28.707,28.496,28.651,28.171,28.454,28.413,28.352,28.712,28.523,28.267,28.456
Caribbean,-68.3,12.14,28.785,28.271,28.557,28.703,28.491,28.648,28.164,28.448,28.408,28.347,28.707,28.516,28.26,28.451
Caribbean,-68.28,12.14,28.785,28.265,28.556,28.703,28.489,28.649,28.157,28.446,28.405,28.346,28.706,28.51,28.254,28.448
Caribbean,-68.2,12.14,28.822,28.283,28.656,28.743,28.516,28.692,28.167,28.471,28.43,28.377,28.739,28.533,28.332,28.474
Caribbean,-68.19,12.14,28.825,28.285,28.659,28.747,28.518,28.696,28.168,28.472,28.431,28.38,28.742,28.535,28.334,28.476
Caribbean,-68.33,12.15,28.801,28.294,28.573,28.718,28.508,28.664,28.189,28.466,28.427,28.364,28.724,28.538,28.283,28.468
Caribbean,-68.32,12.15,28.792,28.283,28.565,28.709,28.499,28.656,28.178,28.457,28.418,28.355,28.715,28.527,28.272,28.459
Caribbean,-68.31,12.15,28.786,28.274,28.558,28.703,28.492,28.65,28.169,28.45,28.41,28.349,28.707,28.518,28.263,28.451
Caribbean,-68.3,12.15,28.782,28.268,28.554,28.7,28.488,28.647,28.162,28.445,28.406,28.346,28.703,28.512,28.257,28.447
Caribbean,-68.29,12.15,28.781,28.264,28.552,28.699,28.486,28.647,28.157,28.443,28.404,28.344,28.702,28.508,28.253,28.445
Caribbean,-68.28,12.15,28.782,28.263,28.553,28.7,28.486,28.649,28.155,28.443,28.404,28.345,28.703,28.507,28.251,28.445
Caribbean,-68.2,12.15,28.818,28.28,28.653,28.739,28.512,28.691,28.165,28.467,28.427,28.375,28.735,28.529,28.329,28.47
Caribbean,-68.19,12.15,28.822,28.282,28.656,28.744,28.515,28.696,28.166,28.469,28.429,28.378,28.738,28.532,28.331,28.473
Caribbean,-68.33,12.16,28.798,28.292,28.57,28.714,28.505,28.663,28.187,28.463,28.424,28.361,28.72,28.534,28.28,28.464
Caribbean,-68.32,12.16,28.789,28.281,28.561,28.706,28.496,28.655,28.176,28.454,28.415,28.353,28.711,28.523,28.269,28.455
Caribbean,-68.3,12.16,28.779,28.266,28.551,28.696,28.484,28.647,28.16,28.442,28.404,28.344,28.7,28.509,28.254,28.444
Caribbean,-68.29,12.16,28.778,28.263,28.55,28.696,28.483,28.646,28.156,28.44,28.402,28.342,28.698,28.505,28.25,28.442
