region_name,longitude,latitude,time_period,ACCESS_CM2,ACCESS_ESM1_5,BCC_CSM2_MR,CanESM5,CESM2_WACCM,CMCC_CM2_SR5,EC_Earth3,EC_Earth3_Veg,GFDL_CM4,IPSL_CM6A_LR,MRI_ESM2_0,NESM3,NorESM2_LM,NorESM2_MM,ensemble_mean_no_dhw_4,ensemble_min_no_dhw_4,ensemble_max_no_dhw_4
Caribbean,-68.25,12.02,2021-2040,1260.0,3408.0,392.0,1100.0,1404.0,959.0,2497.0,1191.0,,800.0,898.0,1651.0,1477.0,663.0,1362.0,392.0,3408.0
Caribbean,-68.24,12.02,2021-2040,1259.0,3417.0,393.0,1099.0,1406.0,959.0,2499.0,1197.0,,801.0,900.0,1647.0,1476.0,663.0,1363.0,393.0,3417.0
Caribbean,-68.26,12.03,2021-2040,1259.0,3401.0,389.0,1102.0,1406.0,959.0,2495.0,1196.0,,813.0,894.0,1652.0,1476.0,662.0,1362.0,389.0,3401.0
Caribbean,-68.25,12.03,2021-2040,1259.0,3409.0,392.0,1101.0,1406.0,957.0,2499.0,1193.0,,812.0,896.0,1651.0,1476.0,662.0,1363.0,392.0,3409.0
Caribbean,-68.24,12.03,2021-2040,1258.0,3415.0,392.0,1100.0,1407.0,956.0,2501.0,1199.0,,811.0,896.0,1652.0,1476.0,662.0,1363.0,392.0,3415.0
Caribbean,-68.23,12.03,2021-2040,1258.0,3428.0,393.0,1041.0,1411.0,954.0,2504.0,1200.0,,810.0,896.0,1654.0,1476.0,663.0,1361.0,393.0,3428.0
Caribbean,-68.27,12.04,2021-2040,1259.0,3393.0,389.0,1107.0,1405.0,953.0,2492.0,1198.0,,812.0,890.0,1594.0,1477.0,661.0,1356.0,389.0,3393.0
Caribbean,-68.26,12.04,2021-2040,1258.0,3399.0,390.0,1104.0,1406.0,949.0,2495.0,1200.0,,812.0,893.0,1655.0,1476.0,661.0,1361.0,390.0,3399.0
Caribbean,-68.23,12.04,2021-2040,1258.0,3427.0,393.0,1043.0,1414.0,946.0,2506.0,1202.0,,812.0,894.0,1659.0,1477.0,661.0,1361.0,393.0,3427.0
Caribbean,-68.22,12.04,2021-2040,1258.0,3432.0,393.0,1042.0,1414.0,945.0,2509.0,1202.0,,812.0,894.0,1657.0,1477.0,662.0,1361.0,393.0,3432.0
Caribbean,-68.28,12.05,2021-2040,1260.0,3386.0,386.0,1112.0,1402.0,945.0,2491.0,1207.0,,812.0,888.0,1594.0,1476.0,657.0,1355.0,386.0,3386.0
Caribbean,-68.27,12.05,2021-2040,1259.0,3392.0,388.0,1108.0,1405.0,944.0,2496.0,1200.0,,812.0,888.0,1597.0,1476.0,660.0,1356.0,388.0,3392.0
Caribbean,-68.22,12.05,2021-2040,1258.0,3434.0,393.0,1042.0,1440.0,937.0,2434.0,1204.0,,813.0,892.0,1678.0,1475.0,661.0,1359.0,393.0,3434.0
Caribbean,-68.28,12.06,2021-2040,1260.0,3383.0,389.0,1110.0,1431.0,940.0,2492.0,1208.0,,812.0,886.0,1597.0,1476.0,658.0,1357.0,389.0,3383.0
Caribbean,-68.23,12.06,2021-2040,1258.0,3428.0,393.0,1045.0,1440.0,928.0,2439.0,1212.0,,814.0,891.0,1682.0,1476.0,663.0,1359.0,393.0,3428.0
Caribbean,-68.22,12.06,2021-2040,1256.0,3434.0,392.0,1044.0,1442.0,904.0,2440.0,1205.0,,814.0,892.0,1683.0,1477.0,664.0,1357.0,392.0,3434.0
Caribbean,-68.28,12.07,2021-2040,1260.0,3394.0,390.0,1111.0,1433.0,908.0,2495.0,1209.0,,812.0,885.0,1603.0,1475.0,657.0,1356.0,390.0,3394.0
Caribbean,-68.23,12.07,2021-2040,1255.0,3430.0,392.0,1047.0,1443.0,882.0,2451.0,1214.0,,815.0,891.0,1683.0,1477.0,663.0,1357.0,392.0,3430.0
Caribbean,-68.22,12.07,2021-2040,1254.0,3438.0,392.0,1045.0,1442.0,884.0,2450.0,1208.0,,815.0,891.0,1684.0,1478.0,665.0,1357.0,392.0,3438.0
Caribbean,-68.28,12.08,2021-2040,1260.0,3362.0,389.0,1111.0,1436.0,878.0,2497.0,1217.0,,812.0,885.0,1611.0,1474.0,656.0,1353.0,389.0,3362.0
Caribbean,-68.23,12.08,2021-2040,1254.0,3427.0,390.0,1046.0,1442.0,876.0,2454.0,1215.0,,818.0,889.0,1686.0,1477.0,662.0,1357.0,390.0,3427.0
Caribbean,-68.29,12.09,2021-2040,1261.0,3339.0,382.0,1114.0,1433.0,871.0,2476.0,1216.0,,811.0,884.0,1612.0,1473.0,656.0,1348.0,382.0,3339.0
Caribbean,-68.28,12.09,2021-2040,1261.0,3355.0,383.0,1113.0,1435.0,871.0,2479.0,1216.0,,812.0,885.0,1612.0,1474.0,656.0,1350.0,383.0,3355.0
Caribbean,-68.23,12.09,2021-2040,1255.0,3425.0,388.0,1047.0,1438.0,546.0,2455.0,1217.0,,818.0,889.0,1694.0,1477.0,663.0,1332.0,388.0,3425.0
Caribbean,-68.29,12.1,2021-2040,1261.0,3319.0,377.0,1114.0,1425.0,771.0,2476.0,1215.0,,811.0,883.0,1610.0,1471.0,654.0,1337.0,377.0,3319.0
Caribbean,-68.28,12.1,2021-2040,1261.0,3341.0,381.0,1114.0,1432.0,547.0,2477.0,1216.0,,811.0,885.0,1611.0,1474.0,655.0,1323.0,381.0,3341.0
Caribbean,-68.24,12.1,2021-2040,1256.0,3383.0,383.0,1049.0,1437.0,486.0,2453.0,1220.0,,815.0,888.0,1623.0,1473.0,665.0,1318.0,383.0,3383.0
Caribbean,-68.23,12.1,2021-2040,1257.0,3394.0,384.0,1049.0,1438.0,546.0,2456.0,1219.0,,815.0,888.0,1639.0,1475.0,666.0,1325.0,384.0,3394.0
Caribbean,-68.22,12.1,2021-2040,1257.0,3401.0,387.0,1048.0,1440.0,546.0,2458.0,1219.0,,819.0,890.0,1696.0,1474.0,666.0,1331.0,387.0,3401.0
Caribbean,-68.21,12.1,2021-2040,1258.0,3409.0,387.0,991.0,1438.0,545.0,2457.0,1221.0,,818.0,890.0,1695.0,1471.0,666.0,1327.0,387.0,3409.0
