region_name,longitude,latitude,time_period,ACCESS_CM2,ACCESS_ESM1_5,BCC_CSM2_MR,CanESM5,CESM2_WACCM,CMCC_CM2_SR5,EC_Earth3,EC_Earth3_Veg,GFDL_CM4,IPSL_CM6A_LR,MRI_ESM2_0,NESM3,NorESM2_LM,NorESM2_MM,ensemble_mean_prob_dhw_8,ensemble_min_prob_dhw_8,ensemble_max_prob_dhw_8
Caribbean,-68.25,12.02,2021-2040,0.25,0.85,0.15,0.35,0.35,0.2,0.85,0.6,0.65,0.2,0.35,0.75,0.7,0.25,0.46,0.15,0.85
Caribbean,-68.24,12.02,2021-2040,0.25,0.85,0.15,0.35,0.35,0.2,0.85,0.6,0.65,0.2,0.35,0.75,0.7,0.25,0.46,0.15,0.85
Caribbean,-68.26,12.03,2021-2040,0.25,0.85,0.15,0.35,0.35,0.2,0.85,0.6,0.6,0.2,0.35,0.75,0.7,0.25,0.46,0.15,0.85
Caribbean,-68.25,12.03,2021-2040,0.25,0.85,0.15,0.35,0.35,0.2,0.85,0.6,0.6,0.2,0.35,0.75,0.7,0.25,0.46,0.15,0.85
Caribbean,-68.24,12.03,2021-2040,0.25,0.85,0.15,0.35,0.35,0.2,0.85,0.6,0.6,0.2,0.35,0.75,0.7,0.25,0.46,0.15,0.85
Caribbean,-68.23,12.03,2021-2040,0.25,0.85,0.15,0.35,0.35,0.2,0.85,0.6,0.65,0.2,0.35,0.75,0.7,0.25,0.46,0.15,0.85
Caribbean,-68.27,12.04,2021-2040,0.25,0.85,0.15,0.35,0.35,0.2,0.85,0.6,0.6,0.25,0.35,0.75,0.7,0.25,0.46,0.15,0.85
Caribbean,-68.26,12.04,2021-2040,0.25,0.85,0.15,0.35,0.35,0.2,0.85,0.6,0.6,0.2,0.35,0.75,0.7,0.25,0.46,0.15,0.85
Caribbean,-68.23,12.04,2021-2040,0.25,0.85,0.15,0.35,0.35,0.2,0.85,0.6,0.65,0.2,0.35,0.75,0.7,0.25,0.46,0.15,0.85
Caribbean,-68.22,12.04,2021-2040,0.25,0.85,0.15,0.35,0.35,0.2,0.85,0.6,0.65,0.2,0.35,0.75,0.7,0.25,0.46,0.15,0.85
Caribbean,-68.28,12.05,2021-2040,0.25,0.85,0.15,0.35,0.35,0.2,0.85,0.6,0.6,0.25,0.35,0.75,0.7,0.25,0.46,0.15,0.85
Caribbean,-68.27,12.05,2021-2040,0.25,0.85,0.15,0.35,0.35,0.2,0.85,0.6,0.6,0.25,0.35,0.75,0.7,0.25,0.46,0.15,0.85
Caribbean,-68.22,12.05,2021-2040,0.25,0.85,0.15,0.35,0.35,0.2,0.9,0.6,0.6,0.2,0.35,0.75,0.7,0.25,0.46,0.15,0.9
Caribbean,-68.28,12.06,2021-2040,0.25,0.85,0.15,0.35,0.35,0.2,0.85,0.6,0.6,0.25,0.35,0.75,0.7,0.25,0.46,0.15,0.85
Caribbean,-68.23,12.06,2021-2040,0.25,0.85,0.15,0.35,0.35,0.2,0.85,0.6,0.6,0.2,0.35,0.75,0.7,0.25,0.46,0.15,0.85
Caribbean,-68.22,12.06,2021-2040,0.25,0.85,0.15,0.35,0.35,0.2,0.9,0.6,0.6,0.2,0.35,0.75,0.7,0.25,0.46,0.15,0.9
Caribbean,-68.28,12.07,2021-2040,0.25,0.9,0.15,0.35,0.35,0.2,0.85,0.6,0.6,0.25,0.35,0.75,0.75,0.25,0.47,0.15,0.9
Caribbean,-68.23,12.07,2021-2040,0.25,0.85,0.15,0.35,0.35,0.2,0.85,0.6,0.6,0.25,0.35,0.75,0.7,0.25,0.46,0.15,0.85
Caribbean,-68.22,12.07,2021-2040,0.25,0.85,0.15,0.35,0.35,0.2,0.9,0.6,0.6,0.25,0.35,0.75,0.7,0.25,0.47,0.15,0.9
Caribbean,-68.28,12.08,2021-2040,0.25,0.9,0.15,0.35,0.35,0.2,0.85,0.6,0.6,0.25,0.35,0.75,0.75,0.25,0.47,0.15,0.9
Caribbean,-68.23,12.08,2021-2040,0.25,0.9,0.15,0.35,0.35,0.2,0.9,0.6,0.6,0.25,0.35,0.75,0.7,0.25,0.47,0.15,0.9
Caribbean,-68.29,12.09,2021-2040,0.25,0.9,0.15,0.35,0.35,0.15,0.9,0.6,0.6,0.25,0.35,0.75,0.75,0.25,0.47,0.15,0.9
