region_name,longitude,latitude,ACCESS_CM2,ACCESS_ESM1_5,BCC_CSM2_MR,CanESM5,CESM2_WACCM,CMCC_CM2_SR5,EC_Earth3,EC_Earth3_Veg,GFDL_CM4,IPSL_CM6A_LR,MRI_ESM2_0,NESM3,NorESM2_LM,NorESM2_MM
Caribbean,-68.25,12.02,28.971,28.334,28.602,28.683,28.407,28.788,28.296,28.631,28.492,28.408,28.993,28.516,28.323,28.516
Caribbean,-68.24,12.02,28.974,28.336,28.606,28.688,28.41,28.793,28.298,28.634,28.495,28.412,28.996,28.518,28.325,28.519
Caribbean,-68.26,12.03,28.963,28.328,28.595,28.675,28.4,28.782,28.291,28.623,28.486,28.401,28.985,28.509,28.317,28.509
Caribbean,-68.25,12.03,28.967,28.33,28.598,28.679,28.403,28.787,28.293,28.626,28.489,28.405,28.988,28.511,28.319,28.511
Caribbean,-68.24,12.03,28.971,28.333,28.603,28.684,28.406,28.792,28.295,28.63,28.493,28.608,28.992,28.514,28.321,28.515
Caribbean,-68.23,12.03,28.975,28.335,28.607,28.689,28.41,28.797,28.297,28.633,28.496,28.612,28.996,28.517,28.324,28.518
Caribbean,-68.27,12.04,28.956,28.323,28.589,28.667,28.394,28.777,28.287,28.617,28.481,28.395,28.978,28.503,28.312,28.502
Caribbean,-68.26,12.04,28.959,28.324,28.591,28.67,28.395,28.78,28.288,28.619,28.482,28.598,28.98,28.504,28.313,28.504
Caribbean,-68.23,12.04,28.972,28.333,28.604,28.685,28.406,28.796,28.294,28.63,28.494,28.61,28.993,28.514,28.32,28.514
Caribbean,-68.22,12.04,28.977,28.335,28.608,28.69,28.409,28.801,28.296,28.633,28.497,28.614,28.997,28.517,28.323,28.518
Caribbean,-68.28,12.05,28.95,28.32,28.584,28.661,28.389,28.772,28.285,28.612,28.477,28.593,28.972,28.498,28.308,28.498
Caribbean,-68.27,12.05,28.952,28.32,28.585,28.663,28.39,28.775,28.284,28.612,28.478,28.594,28.973,28.498,28.308,28.498
Caribbean,-68.22,12.05,28.975,28.333,28.606,28.688,28.407,28.802,28.295,28.63,28.495,28.614,28.995,28.514,28.32,28.515
Caribbean,-68.28,12.06,28.946,28.317,28.58,28.657,28.385,28.771,28.282,28.608,28.474,28.591,28.967,28.494,28.305,28.493
Caribbean,-68.23,12.06,28.969,28.329,28.601,28.682,28.402,28.798,28.291,28.625,28.491,28.61,28.989,28.509,28.315,28.51
Caribbean,-68.22,12.06,28.974,28.332,28.606,28.687,28.405,28.803,28.294,28.629,28.495,28.614,28.994,28.512,28.318,28.513
Caribbean,-68.28,12.07,28.943,28.315,28.578,28.654,28.382,28.77,28.28,28.604,28.472,28.589,28.964,28.49,28.301,28.489
Caribbean,-68.23,12.07,28.968,28.327,28.6,28.68,28.4,28.798,28.289,28.623,28.49,28.611,28.988,28.506,28.313,28.507
Caribbean,-68.22,12.07,28.974,28.331,28.605,28.686,28.404,28.805,28.293,28.627,28.495,28.615,28.993,28.511,28.317,28.511
Caribbean,-68.28,12.08,28.939,28.312,28.575,28.65,28.379,28.768,28.277,28.6,28.47,28.588,28.96,28.486,28.298,28.486
Caribbean,-68.23,12.08,28.968,28.326,28.6,28.679,28.398,28.8,28.289,28.622,28.49,28.612,28.987,28.504,28.311,28.506
Caribbean,-68.29,12.09,28.935,28.311,28.572,28.646,28.376,28.766,28.277,28.597,28.468,28.587,28.955,28.483,28.296,28.483
Caribbean,-68.28,12.09,28.936,28.309,28.573,28.647,28.376,28.767,28.275,28.597,28.468,28.587,28.956,28.482,28.295,28.483
Caribbean,-68.23,12.09,28.966,28.324,28.598,28.677,28.396,28.8,28.287,28.619,28.489,28.611,28.985,28.501,28.309,28.503
Caribbean,-68.29,12.1,28.931,28.307,28.569,28.642,28.372,28.764,28.274,28.593,28.465,28.585,28.951,28.479,28.292,28.479
