region_name,longitude,latitude,time_period,ACCESS_CM2,ACCESS_ESM1_5,BCC_CSM2_MR,CanESM5,CESM2_WACCM,CMCC_CM2_SR5,EC_Earth3,EC_Earth3_Veg,GFDL_CM4,IPSL_CM6A_LR,MRI_ESM2_0,NESM3,NorESM2_LM,NorESM2_MM,ensemble_mean_no_dhw_4,ensemble_min_no_dhw_4,ensemble_max_no_dhw_4
Caribbean,-68.25,12.02,2021-2040,1395.0,2769.0,422.0,917.0,1563.0,764.0,2462.0,1437.0,1974.0,972.0,771.0,2505.0,1868.0,1132.0,1497.0,422.0,2769.0
Caribbean,-68.24,12.02,2021-2040,1395.0,2769.0,422.0,913.0,1563.0,764.0,2463.0,1437.0,1988.0,973.0,771.0,2507.0,1868.0,1133.0,1498.0,422.0,2769.0
Caribbean,-68.26,12.03,2021-2040,1397.0,2767.0,421.0,923.0,1563.0,762.0,2465.0,1438.0,1974.0,972.0,770.0,2498.0,1867.0,1130.0,1496.0,421.0,2767.0
Caribbean,-68.25,12.03,2021-2040,1397.0,2766.0,421.0,922.0,1563.0,760.0,2463.0,1438.0,1988.0,974.0,769.0,2503.0,1867.0,1132.0,1497.0,421.0,2766.0
Caribbean,-68.24,12.03,2021-2040,1395.0,2768.0,422.0,920.0,1566.0,761.0,2467.0,1439.0,1989.0,683.0,769.0,2506.0,1867.0,1133.0,1478.0,422.0,2768.0
Caribbean,-68.23,12.03,2021-2040,1395.0,2769.0,422.0,919.0,1566.0,764.0,2467.0,1439.0,2004.0,683.0,769.0,2511.0,1868.0,1135.0,1479.0,422.0,2769.0
Caribbean,-68.27,12.04,2021-2040,1398.0,2763.0,421.0,926.0,1562.0,759.0,2469.0,1439.0,1976.0,969.0,769.0,2554.0,1863.0,1124.0,1499.0,421.0,2763.0
Caribbean,-68.26,12.04,2021-2040,1397.0,2767.0,421.0,925.0,1564.0,759.0,2470.0,1438.0,2005.0,685.0,769.0,2560.0,1865.0,1127.0,1482.0,421.0,2767.0
Caribbean,-68.23,12.04,2021-2040,1395.0,2769.0,420.0,920.0,1569.0,718.0,2470.0,1440.0,2002.0,684.0,769.0,2573.0,1867.0,1134.0,1481.0,420.0,2769.0
Caribbean,-68.22,12.04,2021-2040,1395.0,2768.0,420.0,917.0,1570.0,761.0,2469.0,1440.0,2004.0,684.0,769.0,2575.0,1867.0,1134.0,1484.0,420.0,2768.0
Caribbean,-68.28,12.05,2021-2040,1402.0,2764.0,421.0,932.0,1565.0,716.0,2474.0,1439.0,1971.0,683.0,769.0,2538.0,1862.0,1114.0,1475.0,421.0,2764.0
Caribbean,-68.27,12.05,2021-2040,1402.0,2765.0,421.0,930.0,1565.0,714.0,2472.0,1440.0,1987.0,683.0,769.0,2549.0,1864.0,1124.0,1478.0,421.0,2765.0
Caribbean,-68.22,12.05,2021-2040,1395.0,2772.0,420.0,924.0,1571.0,714.0,2475.0,1442.0,2005.0,686.0,768.0,2570.0,1864.0,1132.0,1481.0,420.0,2772.0
Caribbean,-68.28,12.06,2021-2040,1404.0,2766.0,421.0,934.0,1561.0,713.0,2479.0,1440.0,1986.0,683.0,769.0,2536.0,1863.0,1114.0,1476.0,421.0,2766.0
Caribbean,-68.23,12.06,2021-2040,1394.0,2773.0,421.0,926.0,1571.0,716.0,2480.0,1441.0,2005.0,688.0,768.0,2565.0,1866.0,1131.0,1482.0,421.0,2773.0
Caribbean,-68.22,12.06,2021-2040,1393.0,2772.0,421.0,924.0,1572.0,713.0,2482.0,1442.0,2003.0,689.0,769.0,2566.0,1866.0,1130.0,1482.0,421.0,2772.0
Caribbean,-68.28,12.07,2021-2040,1407.0,2769.0,421.0,935.0,1565.0,712.0,2483.0,1440.0,2000.0,628.0,770.0,2511.0,1861.0,1112.0,1472.0,421.0,2769.0
Caribbean,-68.23,12.07,2021-2040,1396.0,2772.0,421.0,927.0,1575.0,713.0,2490.0,1442.0,2005.0,691.0,769.0,2556.0,1866.0,1132.0,1483.0,421.0,2772.0
Caribbean,-68.22,12.07,2021-2040,1395.0,2772.0,421.0,924.0,1576.0,711.0,2486.0,1442.0,2010.0,690.0,770.0,2560.0,1866.0,1133.0,1483.0,421.0,2772.0
Caribbean,-68.28,12.08,2021-2040,1466.0,2771.0,417.0,937.0,1568.0,709.0,2486.0,1439.0,1993.0,629.0,772.0,2501.0,1861.0,1112.0,1476.0,417.0,2771.0
Caribbean,-68.23,12.08,2021-2040,1397.0,2772.0,479.0,928.0,1576.0,710.0,2493.0,1441.0,2008.0,693.0,769.0,2531.0,1866.0,1132.0,1485.0,479.0,2772.0
Caribbean,-68.29,12.09,2021-2040,1465.0,2765.0,475.0,939.0,1564.0,708.0,2491.0,1440.0,2013.0,630.0,773.0,2485.0,1860.0,1106.0,1480.0,475.0,2765.0
Caribbean,-68.28,12.09,2021-2040,1464.0,2764.0,475.0,939.0,1568.0,707.0,2490.0,1441.0,2015.0,631.0,773.0,2490.0,1860.0,1107.0,1480.0,475.0,2764.0
Caribbean,-68.23,12.09,2021-2040,1397.0,2766.0,478.0,927.0,1579.0,709.0,2491.0,1439.0,2011.0,638.0,769.0,2531.0,1865.0,1122.0,1480.0,478.0,2766.0
Caribbean,-68.29,12.1,2021-2040,1465.0,2759.0,477.0,941.0,1566.0,705.0,2492.0,1440.0,2012.0,628.0,773.0,2461.0,1859.0,1094.0,1477.0,477.0,2759.0
Caribbean,-68.28,12.1,2021-2040,1465.0,2760.0,477.0,938.0,1567.0,705.0,2491.0,1442.0,2017.0,630.0,773.0,2487.0,1860.0,1105.0,1480.0,477.0,2760.0
Caribbean,-68.24,12.1,2021-2040,1403.0,2763.0,478.0,934.0,1578.0,707.0,2492.0,1441.0,2026.0,639.0,770.0,2522.0,1864.0,1114.0,1481.0,478.0,2763.0
Caribbean,-68.23,12.1,2021-2040,1398.0,2766.0,478.0,929.0,1581.0,707.0,2492.0,1440.0,2024.0,638.0,770.0,2524.0,1864.0,1116.0,1481.0,478.0,2766.0
Caribbean,-68.22,12.1,2021-2040,1396.0,2768.0,479.0,928.0,1586.0,707.0,2490.0,1441.0,2024.0,638.0,770.0,2528.0,1866.0,1117.0,1481.0,479.0,2768.0
Caribbean,-68.21,12.1,2021-2040,1391.0,2766.0,480.0,927.0,1586.0,707.0,2490.0,1441.0,2009.0,638.0,771.0,2529.0,1866.0,1116.0,1480.0,480.0,2766.0
Caribbean,-68.3,12.11,2021-2040,1413.0,2758.0,480.0,944.0,1564.0,705.0,2491.0,1438.0,2010.0,627.0,772.0,2457.0,1856.0,1090.0,1472.0,480.0,2758.0
Caribbean,-68.29,12.11,2021-2040,1408.0,2757.0,480.0,943.0,1565.0,703.0,2492.0,1438.0,2012.0,627.0,772.0,2458.0,1856.0,1091.0,1472.0,480.0,2757.0
Caribbean,-68.21,12.11,2021-2040,1396.0,2765.0,482.0,929.0,1585.0,702.0,2495.0,1440.0,2025.0,638.0,767.0,2510.0,1862.0,1119.0,1480.0,482.0,2765.0
Caribbean,-68.2,12.11,2021-2040,1391.0,2760.0,482.0,927.0,1589.0,702.0,2492.0,1440.0,2021.0,637.0,767.0,2511.0,1863.0,1119.0,1479.0,482.0,2760.0
Caribbean,-68.3,12.12,2021-2040,1417.0,2753.0,480.0,944.0,1565.0,703.0,2495.0,1439.0,2009.0,627.0,775.0,2452.0,1851.0,1085.0,1471.0,480.0,2753.0
Caribbean,-68.29,12.12,2021-2040,1411.0,2754.0,480.0,944.0,1568.0,704.0,2494.0,1439.0,2011.0,627.0,775.0,2457.0,1853.0,1086.0,1472.0,480.0,2754.0
Caribbean,-68.2,12.12,2021-2040,1393.0,2762.0,481.0,928.0,1589.0,696.0,2498.0,1441.0,2015.0,637.0,766.0,2512.0,1860.0,1119.0,1478.0,481.0,2762.0
Caribbean,-68.19,12.12,2021-2040,1392.0,2761.0,481.0,927.0,1591.0,696.0,2497.0,1441.0,2019.0,637.0,764.0,2514.0,1861.0,1122.0,1479.0,481.0,2761.0
Caribbean,-68.29,12.13,2021-2040,1417.0,2748.0,478.0,944.0,1567.0,699.0,2495.0,1438.0,2008.0,626.0,773.0,2440.0,1850.0,1083.0,1469.0,478.0,2748.0
Caribbean,-68.28,12.13,2021-2040,1413.0,2748.0,479.0,943.0,1569.0,699.0,2497.0,1439.0,2008.0,627.0,774.0,2445.0,1852.0,1083.0,1470.0,479.0,2748.0
Caribbean,-68.2,12.13,2021-2040,1395.0,2763.0,480.0,931.0,1591.0,695.0,2502.0,1440.0,2018.0,637.0,762.0,2495.0,1859.0,1120.0,1478.0,480.0,2763.0
Caribbean,-68.19,12.13,2021-2040,1391.0,2762.0,481.0,931.0,1592.0,694.0,2501.0,1442.0,2018.0,636.0,761.0,2502.0,1860.0,1121.0,1478.0,481.0,2762.0
Caribbean,-68.31,12.14,2021-2040,1429.0,2743.0,477.0,946.0,1562.0,694.0,2496.0,1433.0,1981.0,625.0,774.0,2429.0,1849.0,1062.0,1464.0,477.0,2743.0
Caribbean,-68.3,12.14,2021-2040,1426.0,2745.0,477.0,945.0,1563.0,690.0,2497.0,1433.0,1980.0,626.0,774.0,2432.0,1849.0,1068.0,1465.0,477.0,2745.0
Caribbean,-68.28,12.14,2021-2040,1421.0,2744.0,479.0,944.0,1567.0,690.0,2497.0,1437.0,2010.0,627.0,772.0,2441.0,1850.0,1084.0,1469.0,479.0,2744.0
Caribbean,-68.2,12.14,2021-2040,1397.0,2760.0,480.0,932.0,1591.0,691.0,2503.0,1444.0,2015.0,636.0,760.0,2493.0,1859.0,1116.0,1477.0,480.0,2760.0
Caribbean,-68.19,12.14,2021-2040,1392.0,2759.0,480.0,932.0,1591.0,689.0,2505.0,1443.0,2015.0,636.0,761.0,2496.0,1858.0,1117.0,1477.0,480.0,2759.0
Caribbean,-68.33,12.15,2021-2040,1431.0,2740.0,477.0,947.0,1559.0,692.0,2518.0,1434.0,1975.0,622.0,772.0,2370.0,1846.0,1061.0,1460.0,477.0,2740.0
Caribbean,-68.32,12.15,2021-2040,1430.0,2740.0,477.0,947.0,1559.0,690.0,2494.0,1434.0,1978.0,621.0,773.0,2374.0,1847.0,1062.0,1459.0,477.0,2740.0
Caribbean,-68.31,12.15,2021-2040,1430.0,2742.0,477.0,947.0,1561.0,688.0,2495.0,1434.0,1979.0,621.0,773.0,2379.0,1849.0,1062.0,1460.0,477.0,2742.0
Caribbean,-68.3,12.15,2021-2040,1430.0,2741.0,477.0,947.0,1561.0,688.0,2495.0,1434.0,1980.0,621.0,773.0,2393.0,1849.0,1062.0,1461.0,477.0,2741.0
Caribbean,-68.29,12.15,2021-2040,1428.0,2740.0,477.0,946.0,1564.0,688.0,2498.0,1434.0,1994.0,622.0,771.0,2396.0,1848.0,1064.0,1462.0,477.0,2740.0
Caribbean,-68.28,12.15,2021-2040,1424.0,2743.0,477.0,946.0,1567.0,689.0,2498.0,1434.0,1994.0,623.0,769.0,2401.0,1848.0,1065.0,1463.0,477.0,2743.0
Caribbean,-68.2,12.15,2021-2040,1396.0,2758.0,478.0,935.0,1591.0,687.0,2507.0,1443.0,2011.0,636.0,761.0,2489.0,1856.0,1112.0,1476.0,478.0,2758.0
Caribbean,-68.19,12.15,2021-2040,1392.0,2753.0,479.0,932.0,1592.0,688.0,2507.0,1442.0,2014.0,636.0,760.0,2496.0,1856.0,1114.0,1476.0,479.0,2753.0
Caribbean,-68.33,12.16,2021-2040,1431.0,2736.0,477.0,949.0,1559.0,690.0,2521.0,1433.0,1975.0,620.0,771.0,2369.0,1843.0,1060.0,1460.0,477.0,2736.0
Caribbean,-68.32,12.16,2021-2040,1432.0,2737.0,475.0,947.0,1560.0,689.0,2498.0,1433.0,1977.0,621.0,772.0,2371.0,1844.0,1060.0,1458.0,475.0,2737.0
Caribbean,-68.3,12.16,2021-2040,1430.0,2739.0,475.0,947.0,1562.0,688.0,2501.0,1433.0,1986.0,621.0,770.0,2388.0,1847.0,1062.0,1461.0,475.0,2739.0
Caribbean,-68.29,12.16,2021-2040,1428.0,2736.0,475.0,946.0,1566.0,687.0,2500.0,1433.0,1988.0,621.0,767.0,2393.0,1848.0,1063.0,1461.0,475.0,2736.0
Caribbean,-68.28,12.16,2021-2040,1427.0,2739.0,475.0,946.0,1567.0,687.0,2502.0,1433.0,1988.0,622.0,768.0,2401.0,1848.0,1063.0,1462.0,475.0,2739.0
Caribbean,-68.2,12.16,2021-2040,1396.0,2754.0,478.0,937.0,1591.0,696.0,2510.0,1441.0,2009.0,635.0,760.0,2486.0,1854.0,1113.0,1476.0,478.0,2754.0
Caribbean,-68.32,12.17,2021-2040,1433.0,2735.0,475.0,948.0,1561.0,687.0,2523.0,1431.0,1975.0,619.0,768.0,2373.0,1843.0,1059.0,1459.0,475.0,2735.0
Caribbean,-68.31,12.17,2021-2040,1434.0,2735.0,474.0,947.0,1562.0,687.0,2503.0,1431.0,1977.0,619.0,769.0,2379.0,1845.0,1059.0,1459.0,474.0,2735.0
Caribbean,-68.3,12.17,2021-2040,1432.0,2736.0,474.0,947.0,1564.0,686.0,2502.0,1432.0,1977.0,620.0,769.0,2379.0,1846.0,1061.0,1459.0,474.0,2736.0
Caribbean,-68.29,12.17,2021-2040,1428.0,2738.0,474.0,947.0,1566.0,684.0,2502.0,1431.0,1978.0,621.0,769.0,2391.0,1847.0,1061.0,1460.0,474.0,2738.0
Caribbean,-68.21,12.17,2021-2040,1398.0,2755.0,476.0,939.0,1588.0,693.0,2515.0,1440.0,1997.0,636.0,759.0,2447.0,1849.0,1098.0,1471.0,476.0,2755.0
Caribbean,-68.2,12.17,2021-2040,1396.0,2755.0,476.0,937.0,1584.0,693.0,2515.0,1441.0,2002.0,634.0,754.0,2449.0,1850.0,1110.0,1471.0,476.0,2755.0
Caribbean,-68.3,12.18,2021-2040,1433.0,2734.0,474.0,948.0,1565.0,684.0,2504.0,1430.0,1956.0,621.0,766.0,2379.0,1844.0,1060.0,1457.0,474.0,2734.0
