region_name,longitude,latitude,ACCESS_CM2,ACCESS_ESM1_5,BCC_CSM2_MR,CanESM5,CESM2_WACCM,CMCC_CM2_SR5,EC_Earth3,EC_Earth3_Veg,GFDL_CM4,IPSL_CM6A_LR,MRI_ESM2_0,NESM3,NorESM2_LM,NorESM2_MM
Caribbean,-68.25,12.02,28.79,28.041,28.651,28.635,28.527,28.708,28.119,28.573,,28.568,28.923,28.551,28.345,28.58
Caribbean,-68.24,12.02,28.794,28.043,28.654,28.637,28.529,28.712,28.121,28.576,,28.572,28.927,28.553,28.347,28.583
Caribbean,-68.26,12.03,28.783,28.034,28.643,28.628,28.521,28.702,28.112,28.565,,28.561,28.915,28.545,28.339,28.572
Caribbean,-68.25,12.03,28.786,28.037,28.647,28.63,28.523,28.706,28.114,28.568,,28.565,28.919,28.547,28.341,28.575
Caribbean,-68.24,12.03,28.79,28.04,28.651,28.633,28.525,28.711,28.117,28.572,,28.569,28.923,28.55,28.343,28.579
Caribbean,-68.23,12.03,28.794,28.043,28.655,28.636,28.527,28.716,28.12,28.575,,28.574,28.926,28.552,28.345,28.582
Caribbean,-68.27,12.04,28.776,28.029,28.636,28.621,28.516,28.697,28.106,28.559,,28.556,28.908,28.539,28.334,28.566
Caribbean,-68.26,12.04,28.778,28.03,28.639,28.623,28.517,28.7,28.107,28.561,,28.558,28.91,28.54,28.335,28.568
Caribbean,-68.23,12.04,28.791,28.04,28.652,28.633,28.524,28.715,28.116,28.572,,28.572,28.923,28.549,28.342,28.579
Caribbean,-68.22,12.04,28.795,28.043,28.656,28.636,28.527,28.72,28.119,28.575,,28.576,28.927,28.552,28.345,28.582
Caribbean,-68.28,12.05,28.771,28.026,28.631,28.617,28.512,28.693,28.103,28.555,,28.552,28.902,28.535,28.33,28.561
Caribbean,-68.27,12.05,28.772,28.026,28.632,28.617,28.512,28.695,28.103,28.555,,28.553,28.903,28.535,28.33,28.562
Caribbean,-68.22,12.05,28.794,28.041,28.654,28.633,28.524,28.72,28.23,28.573,,28.575,28.924,28.55,28.342,28.579
Caribbean,-68.28,12.06,28.767,28.023,28.628,28.613,28.508,28.692,28.1,28.551,,28.55,28.898,28.532,28.327,28.557
Caribbean,-68.23,12.06,28.788,28.037,28.648,28.628,28.519,28.716,28.226,28.568,,28.571,28.918,28.545,28.337,28.574
Caribbean,-68.22,12.06,28.793,28.04,28.653,28.632,28.522,28.722,28.229,28.572,,28.575,28.923,28.549,28.34,28.578
Caribbean,-68.28,12.07,28.764,28.021,28.624,28.609,28.505,28.69,28.096,28.547,,28.548,28.893,28.528,28.323,28.554
Caribbean,-68.23,12.07,28.787,28.035,28.647,28.626,28.517,28.717,28.224,28.566,,28.57,28.917,28.543,28.335,28.572
Caribbean,-68.22,12.07,28.792,28.038,28.652,28.63,28.521,28.723,28.227,28.57,,28.575,28.922,28.547,28.339,28.576
Caribbean,-68.28,12.08,28.76,28.019,28.621,28.605,28.501,28.689,28.094,28.544,,28.546,28.889,28.525,28.32,28.55
Caribbean,-68.23,12.08,28.786,28.034,28.646,28.624,28.515,28.718,28.223,28.565,,28.57,28.915,28.542,28.333,28.571
Caribbean,-68.29,12.09,28.757,28.018,28.618,28.602,28.499,28.687,28.092,28.541,,28.544,28.885,28.522,28.318,28.547
Caribbean,-68.28,12.09,28.758,28.017,28.619,28.601,28.497,28.688,28.091,28.541,,28.545,28.885,28.521,28.317,28.547
Caribbean,-68.23,12.09,28.785,28.033,28.644,28.621,28.512,28.87,28.221,28.562,,28.57,28.913,28.539,28.331,28.568
Caribbean,-68.29,12.1,28.753,28.015,28.614,28.597,28.495,28.685,28.089,28.537,,28.542,28.88,28.518,28.314,28.543
Caribbean,-68.28,12.1,28.754,28.015,28.615,28.596,28.493,28.837,28.088,28.537,,28.543,28.881,28.517,28.313,28.543
Caribbean,-68.24,12.1,28.774,28.026,28.634,28.611,28.504,28.86,28.214,28.553,,28.561,28.902,28.53,28.323,28.559
Caribbean,-68.23,12.1,28.781,28.03,28.64,28.617,28.508,28.868,28.217,28.559,,28.567,28.909,28.535,28.327,28.565
Caribbean,-68.22,12.1,28.786,28.032,28.645,28.621,28.511,28.873,28.22,28.563,,28.572,28.914,28.539,28.33,28.568
Caribbean,-68.21,12.1,28.789,28.034,28.648,28.624,28.514,28.877,28.221,28.565,,28.575,28.917,28.542,28.332,28.571
Caribbean,-68.3,12.11,28.75,28.015,28.612,28.595,28.494,28.833,28.088,28.535,,28.54,28.876,28.517,28.314,28.541
Caribbean,-68.29,12.11,28.749,28.012,28.61,28.592,28.49,28.832,28.085,28.533,,28.539,28.875,28.513,28.31,28.538
Caribbean,-68.21,12.11,28.785,28.03,28.643,28.619,28.509,28.873,28.217,28.56,,28.572,28.911,28.537,28.328,28.566
Caribbean,-68.2,12.11,28.787,28.03,28.645,28.621,28.51,28.876,28.217,28.561,,28.574,28.913,28.538,28.329,28.567
Caribbean,-68.3,12.12,28.746,28.011,28.607,28.59,28.489,28.83,28.084,28.53,,28.537,28.871,28.512,28.31,28.536
Caribbean,-68.29,12.12,28.744,28.009,28.606,28.587,28.485,28.829,28.081,28.528,,28.536,28.87,28.509,28.306,28.534
Caribbean,-68.2,12.12,28.782,28.026,28.64,28.614,28.503,28.872,28.212,28.556,,28.57,28.907,28.532,28.323,28.562
Caribbean,-68.19,12.12,28.784,28.026,28.642,28.615,28.504,28.873,28.211,28.557,,28.571,28.909,28.533,28.324,28.562
Caribbean,-68.29,12.13,28.74,28.006,28.602,28.582,28.481,28.825,28.077,28.524,,28.533,28.865,28.504,28.301,28.53
Caribbean,-68.28,12.13,28.742,28.005,28.603,28.582,28.479,28.827,28.077,28.524,,28.534,28.866,28.503,28.3,28.53
Caribbean,-68.2,12.13,28.778,28.022,28.636,28.609,28.498,28.868,28.207,28.551,,28.567,28.902,28.527,28.318,28.557
Caribbean,-68.19,12.13,28.78,28.023,28.638,28.61,28.499,28.87,28.207,28.553,,28.569,28.904,28.528,28.32,28.558
