region_name,longitude,latitude,time_period,ACCESS_CM2,ACCESS_ESM1_5,BCC_CSM2_MR,CanESM5,CESM2_WACCM,CMCC_CM2_SR5,EC_Earth3,EC_Earth3_Veg,GFDL_CM4,IPSL_CM6A_LR,MRI_ESM2_0,NESM3,NorESM2_LM,NorESM2_MM,ensemble_mean_no_dhw_8,ensemble_min_no_dhw_8,ensemble_max_no_dhw_8
Caribbean,-68.25,12.02,2021-2040,461.0,2042.0,58.0,454.0,774.0,301.0,1770.0,895.0,1147.0,482.0,359.0,1618.0,1217.0,614.0,871.0,58.0,2042.0
Caribbean,-68.24,12.02,2021-2040,461.0,2043.0,58.0,448.0,778.0,302.0,1771.0,894.0,1148.0,482.0,359.0,1624.0,1218.0,614.0,871.0,58.0,2043.0
Caribbean,-68.26,12.03,2021-2040,460.0,2040.0,58.0,458.0,776.0,300.0,1774.0,896.0,1145.0,483.0,358.0,1613.0,1216.0,612.0,871.0,58.0,2040.0
Caribbean,-68.25,12.03,2021-2040,460.0,2040.0,58.0,458.0,780.0,300.0,1774.0,896.0,1145.0,483.0,358.0,1621.0,1216.0,614.0,872.0,58.0,2040.0
Caribbean,-68.24,12.03,2021-2040,460.0,2042.0,58.0,454.0,781.0,301.0,1776.0,896.0,1147.0,345.0,358.0,1626.0,1218.0,616.0,863.0,58.0,2042.0
Caribbean,-68.23,12.03,2021-2040,461.0,2045.0,58.0,452.0,782.0,301.0,1774.0,896.0,1147.0,346.0,358.0,1638.0,1218.0,617.0,864.0,58.0,2045.0
Caribbean,-68.27,12.04,2021-2040,460.0,2041.0,58.0,462.0,776.0,299.0,1780.0,898.0,1145.0,483.0,357.0,1598.0,1212.0,610.0,870.0,58.0,2041.0
Caribbean,-68.26,12.04,2021-2040,461.0,2044.0,58.0,461.0,780.0,300.0,1780.0,897.0,1147.0,346.0,357.0,1609.0,1213.0,614.0,862.0,58.0,2044.0
Caribbean,-68.23,12.04,2021-2040,460.0,2044.0,58.0,455.0,784.0,299.0,1778.0,896.0,1147.0,347.0,358.0,1638.0,1217.0,617.0,864.0,58.0,2044.0
Caribbean,-68.22,12.04,2021-2040,459.0,2045.0,58.0,422.0,786.0,298.0,1780.0,896.0,1146.0,348.0,358.0,1643.0,1219.0,617.0,863.0,58.0,2045.0
Caribbean,-68.28,12.05,2021-2040,496.0,2043.0,58.0,464.0,776.0,299.0,1782.0,898.0,1141.0,346.0,357.0,1590.0,1209.0,607.0,862.0,58.0,2043.0
Caribbean,-68.27,12.05,2021-2040,496.0,2045.0,58.0,461.0,780.0,299.0,1781.0,899.0,1147.0,347.0,357.0,1596.0,1212.0,608.0,863.0,58.0,2045.0
Caribbean,-68.22,12.05,2021-2040,459.0,2049.0,58.0,456.0,788.0,298.0,1784.0,898.0,1147.0,348.0,359.0,1643.0,1216.0,617.0,866.0,58.0,2049.0
Caribbean,-68.28,12.06,2021-2040,496.0,2044.0,58.0,464.0,780.0,297.0,1786.0,897.0,1141.0,345.0,357.0,1588.0,1210.0,606.0,862.0,58.0,2044.0
Caribbean,-68.23,12.06,2021-2040,459.0,2048.0,58.0,457.0,788.0,299.0,1789.0,898.0,1151.0,350.0,359.0,1629.0,1215.0,615.0,865.0,58.0,2048.0
Caribbean,-68.22,12.06,2021-2040,458.0,2047.0,58.0,425.0,788.0,299.0,1789.0,898.0,1147.0,351.0,359.0,1630.0,1216.0,615.0,863.0,58.0,2047.0
Caribbean,-68.28,12.07,2021-2040,497.0,2044.0,58.0,469.0,741.0,297.0,1793.0,897.0,1144.0,346.0,358.0,1590.0,1208.0,604.0,860.0,58.0,2044.0
Caribbean,-68.23,12.07,2021-2040,459.0,2043.0,58.0,456.0,790.0,299.0,1793.0,899.0,1149.0,352.0,359.0,1630.0,1215.0,616.0,866.0,58.0,2043.0
Caribbean,-68.22,12.07,2021-2040,458.0,2044.0,58.0,425.0,793.0,298.0,1791.0,899.0,1147.0,352.0,359.0,1638.0,1215.0,616.0,864.0,58.0,2044.0
Caribbean,-68.28,12.08,2021-2040,497.0,2044.0,57.0,469.0,744.0,297.0,1793.0,898.0,1144.0,348.0,358.0,1592.0,1207.0,603.0,861.0,57.0,2044.0
Caribbean,-68.23,12.08,2021-2040,459.0,2043.0,58.0,456.0,793.0,298.0,1796.0,900.0,1151.0,354.0,359.0,1630.0,1213.0,615.0,866.0,58.0,2043.0
Caribbean,-68.29,12.09,2021-2040,498.0,2041.0,56.0,470.0,744.0,297.0,1797.0,898.0,1133.0,351.0,359.0,1566.0,1205.0,602.0,858.0,56.0,2041.0
Caribbean,-68.28,12.09,2021-2040,498.0,2037.0,57.0,470.0,744.0,297.0,1795.0,899.0,1131.0,351.0,359.0,1577.0,1205.0,603.0,859.0,57.0,2037.0
Caribbean,-68.23,12.09,2021-2040,459.0,2042.0,58.0,461.0,793.0,298.0,1796.0,900.0,1151.0,354.0,357.0,1632.0,1211.0,613.0,866.0,58.0,2042.0
Caribbean,-68.29,12.1,2021-2040,530.0,2031.0,56.0,472.0,744.0,294.0,1798.0,897.0,1129.0,347.0,359.0,1567.0,1202.0,596.0,859.0,56.0,2031.0
Caribbean,-68.28,12.1,2021-2040,498.0,2033.0,56.0,470.0,744.0,294.0,1798.0,900.0,1131.0,349.0,358.0,1569.0,1205.0,599.0,857.0,56.0,2033.0
Caribbean,-68.24,12.1,2021-2040,495.0,2039.0,58.0,467.0,757.0,297.0,1801.0,900.0,1149.0,354.0,357.0,1627.0,1208.0,607.0,865.0,58.0,2039.0
Caribbean,-68.23,12.1,2021-2040,459.0,2042.0,59.0,437.0,792.0,297.0,1801.0,899.0,1149.0,354.0,357.0,1631.0,1208.0,608.0,864.0,59.0,2042.0
Caribbean,-68.22,12.1,2021-2040,457.0,2043.0,62.0,433.0,794.0,297.0,1795.0,902.0,1149.0,354.0,357.0,1637.0,1212.0,611.0,865.0,62.0,2043.0
Caribbean,-68.21,12.1,2021-2040,457.0,2043.0,63.0,433.0,798.0,296.0,1795.0,902.0,1147.0,356.0,358.0,1638.0,1211.0,610.0,865.0,63.0,2043.0
Caribbean,-68.3,12.11,2021-2040,537.0,2031.0,55.0,473.0,744.0,292.0,1797.0,896.0,1124.0,348.0,359.0,1565.0,1195.0,584.0,857.0,55.0,2031.0
Caribbean,-68.29,12.11,2021-2040,531.0,2028.0,56.0,472.0,744.0,292.0,1798.0,896.0,1128.0,348.0,359.0,1566.0,1201.0,586.0,858.0,56.0,2028.0
Caribbean,-68.21,12.11,2021-2040,457.0,2041.0,63.0,435.0,795.0,294.0,1799.0,903.0,1130.0,354.0,355.0,1636.0,1207.0,608.0,863.0,63.0,2041.0
Caribbean,-68.2,12.11,2021-2040,457.0,2037.0,63.0,433.0,799.0,294.0,1798.0,901.0,1131.0,356.0,354.0,1639.0,1207.0,608.0,863.0,63.0,2037.0
