YYYY-MM-DD,SST_MIN,SST_MAX,SST@90th_HS,SSTA@90th_HS,90th_HS>0,DHW_from_90th_HS>1,BAA_7day_max,SST_MEAN
2010-01-01,25.4,27.8,27.6100,0.9668,0.0000,0.5871,0,26.6
2010-01-02,25.67,28.04,27.8600,1.2113,0.0000,0.4371,0,26.855
2010-01-03,25.71,27.98,27.9400,1.2535,0.0000,0.2943,0,26.845
2010-01-04,25.22,27.84,27.7000,1.2061,0.0000,0.1429,0,26.53
2010-01-05,25.23,27.52,27.4000,0.8916,0.0000,0.1429,0,26.375
2010-01-06,25.54,27.56,27.4800,0.9594,0.0000,0.1429,0,26.549999999999997
2010-01-07,25.74,27.7,27.5800,1.1810,0.0000,0.0000,0,26.72
2010-01-08,25.76,27.9,27.7700,1.3006,0.0000,0.0000,0,26.83
2010-01-09,25.86,27.84,27.6000,1.4516,0.0000,0.0000,0,26.85
2010-01-10,25.7,27.76,27.4100,1.3329,0.0000,0.0000,0,26.73
2010-01-11,25.71,27.73,27.4700,1.3629,0.0000,0.0000,0,26.72
2010-01-12,25.76,27.59,27.3400,1.1135,0.0000,0.0000,0,26.675
2010-01-13,25.82,27.49,27.2300,1.0465,0.0000,0.0000,0,26.655
2010-01-14,25.79,27.39,27.1800,1.0723,0.0000,0.0000,0,26.59
2010-01-15,25.81,27.29,27.0200,1.0400,0.0000,0.0000,0,26.549999999999997
2010-01-16,25.76,27.14,26.8900,0.9987,0.0000,0.0000,0,26.450000000000003
2010-01-17,25.88,27.15,27.0600,0.8945,0.0000,0.0000,0,26.515
2010-01-18,25.81,27.13,27.0800,0.8487,0.0000,0.0000,0,26.47
2010-01-19,25.64,27.16,27.0900,0.9290,0.0000,0.0000,0,26.4
2010-01-20,25.48,27.07,26.9800,0.8345,0.0000,0.0000,0,26.275
2010-01-21,25.29,27.01,26.9400,0.7494,0.0000,0.0000,0,26.15
2010-01-22,25.28,27.02,26.8700,0.7071,0.0000,0.0000,0,26.15
2010-01-23,25.12,26.94,26.8500,0.6435,0.0000,0.0000,0,26.03
2010-01-24,25.12,26.88,26.7100,0.6432,0.0000,0.0000,0,26.0
2010-01-25,25.24,26.86,26.6800,0.4987,0.0000,0.0000,0,26.049999999999997
2010-01-26,25.06,26.76,26.6800,0.6048,0.0000,0.0000,0,25.91
2010-01-27,25.1,26.98,26.7600,0.5719,0.0000,0.0000,0,26.04
2010-01-28,25.26,26.76,26.6100,0.5019,0.0000,0.0000,0,26.01
2010-01-29,25.21,26.85,26.7700,0.7006,0.0000,0.0000,0,26.03
2010-01-30,24.99,26.71,26.5400,0.5794,0.0000,0.0000,0,25.85
2010-01-31,24.85,26.86,26.6500,0.8197,0.0000,0.0000,0,25.855
2010-02-01,24.82,26.71,26.6500,0.6403,0.0000,0.0000,0,25.765
2010-02-02,24.68,26.61,26.6000,0.4871,0.0000,0.0000,0,25.645
2010-02-03,24.58,26.52,26.3300,0.3629,0.0000,0.0000,0,25.549999999999997
2010-02-04,24.44,26.42,26.1900,0.2074,0.0000,0.0000,0,25.43
2010-02-05,24.2,26.54,26.3200,0.3248,0.0000,0.0000,0,25.369999999999997
2010-02-06,24.38,26.57,26.4100,0.4552,0.0000,0.0000,0,25.475
2010-02-07,24.58,26.69,26.5500,0.4635,0.0000,0.0000,0,25.634999999999998
2010-02-08,24.51,26.75,26.4400,0.5129,0.0000,0.0000,0,25.630000000000003
2010-02-09,24.55,26.67,26.3400,0.2871,0.0000,0.0000,0,25.61
2010-02-10,24.35,26.71,26.3900,0.4574,0.0000,0.0000,0,25.53
2010-02-11,24.7,27.02,26.7200,0.7794,0.0000,0.0000,0,25.86
2010-02-12,24.85,26.88,26.6600,0.7345,0.0000,0.0000,0,25.865000000000002
2010-02-13,24.91,26.75,26.5600,0.6410,0.0000,0.0000,0,25.83
2010-02-14,24.9,26.77,26.4400,0.4861,0.0000,0.0000,0,25.835
2010-02-15,25.03,26.57,26.4000,0.5700,0.0000,0.0000,0,25.8
2010-02-16,24.93,26.61,26.4600,0.6079,0.0000,0.0000,0,25.77
2010-02-17,24.82,26.54,26.3300,0.5057,0.0000,0.0000,0,25.68
2010-02-18,25.03,26.54,26.3500,0.4125,0.0000,0.0000,0,25.785
2010-02-19,25.15,26.58,26.3900,0.4900,0.0000,0.0000,0,25.865
2010-02-20,24.93,26.47,26.1700,0.3786,0.0000,0.0000,0,25.7
2010-02-21,24.98,26.4,25.7500,0.6757,0.0000,0.0000,0,25.689999999999998
2010-02-22,24.96,26.43,25.7700,0.7250,0.0000,0.0000,0,25.695
2010-02-23,25.25,27.15,26.5400,0.5614,0.0000,0.0000,0,26.2
2010-02-24,25.24,26.51,26.2500,0.3575,0.0000,0.0000,0,25.875
2010-02-25,25.31,26.64,26.1900,0.9500,0.0000,0.0000,0,25.975
2010-02-26,25.87,26.98,26.6600,0.9393,0.0000,0.0000,0,26.425
2010-02-27,25.91,27.29,26.8600,0.9600,0.0000,0.0000,0,26.6
2010-02-28,25.91,26.97,26.4100,0.9993,0.0000,0.0000,0,26.439999999999998
2010-03-01,25.84,26.93,26.7800,0.9050,0.0000,0.0000,0,26.384999999999998
2010-03-02,26.17,27.07,26.5400,1.2500,0.0000,0.0000,0,26.62
2010-03-03,26.09,26.86,26.6600,0.8443,0.0000,0.0000,0,26.475
2010-03-04,26.03,26.88,26.6800,0.8589,0.0000,0.0000,0,26.455
2010-03-05,25.97,26.84,26.6500,0.8464,0.0000,0.0000,0,26.405
2010-03-06,26.09,26.95,26.6400,0.8318,0.0000,0.0000,0,26.52
2010-03-07,26.03,26.88,26.5800,0.7900,0.0000,0.0000,0,26.455
2010-03-08,26.03,26.92,26.7800,0.8475,0.0000,0.0000,0,26.475
2010-03-09,26.12,27.06,27.0300,1.0571,0.0000,0.0000,0,26.59
2010-03-10,26.32,27.2,26.8600,1.2729,0.0000,0.0000,0,26.759999999999998
2010-03-11,26.54,27.32,26.9600,1.3957,0.0000,0.0000,0,26.93
2010-03-12,26.74,27.43,26.9400,1.5879,0.0000,0.0000,0,27.085
2010-03-13,26.54,27.54,27.0200,1.6286,0.0000,0.0000,0,27.04
2010-03-14,26.64,27.59,27.2700,1.5868,0.0000,0.0000,0,27.115000000000002
2010-03-15,26.79,27.41,26.8700,1.8700,0.0000,0.0000,0,27.1
2010-03-16,26.71,27.27,26.9200,1.4187,0.0000,0.0000,0,26.990000000000002
2010-03-17,26.57,27.19,27.0800,1.1445,0.0000,0.0000,0,26.880000000000003
2010-03-18,26.54,27.25,27.0800,1.1368,0.0000,0.0000,0,26.895
2010-03-19,26.68,27.34,26.9400,1.4635,0.0000,0.0000,0,27.009999999999998
2010-03-20,26.43,27.56,27.3300,1.3913,0.0000,0.0000,0,26.994999999999997
2010-03-21,26.15,27.58,27.3900,1.4719,0.0000,0.0000,0,26.865
2010-03-22,25.8,27.46,27.3500,1.3013,0.0000,0.0000,0,26.630000000000003
2010-03-23,25.62,27.5,27.3500,1.4200,0.0000,0.0000,0,26.560000000000002
2010-03-24,25.63,27.5,27.1400,1.2416,0.0000,0.0000,0,26.564999999999998
2010-03-25,25.37,27.24,26.9400,1.0397,0.0000,0.0000,0,26.305
2010-03-26,25.52,27.29,26.9400,1.0042,0.0000,0.0000,0,26.405
2010-03-27,25.26,27.44,27.1000,1.0810,0.0000,0.0000,0,26.35
2010-03-28,25.55,27.49,27.2900,1.1810,0.0000,0.0000,0,26.52
2010-03-29,25.85,27.47,27.3600,1.2381,0.0000,0.0000,0,26.66
2010-03-30,25.86,27.48,27.3600,1.2242,0.0000,0.0000,0,26.67
2010-03-31,25.64,27.25,27.0300,0.9065,0.0000,0.0000,0,26.445
2010-04-01,25.72,27.28,26.8000,0.8365,0.0000,0.0000,0,26.5
2010-04-02,25.94,27.19,26.8800,0.9258,0.0000,0.0000,0,26.565
2010-04-03,25.82,27.27,27.0800,0.9006,0.0000,0.0000,0,26.545
2010-04-04,25.73,27.33,27.0300,0.9223,0.0000,0.0000,0,26.53
2010-04-05,25.8,27.15,26.7700,0.8300,0.0000,0.0000,0,26.475
2010-04-06,25.82,27.17,26.7900,0.8229,0.0000,0.0000,0,26.495
2010-04-07,26.01,27.24,26.8700,0.9352,0.0000,0.0000,0,26.625
2010-04-08,26.35,27.35,26.9600,1.0800,0.0000,0.0000,0,26.85
2010-04-09,26.13,27.34,26.8800,1.0677,0.0000,0.0000,0,26.735
2010-04-10,25.97,27.11,26.8000,0.9048,0.0000,0.0000,0,26.54
2010-04-11,26.36,27.34,26.9700,1.1865,0.0000,0.0000,0,26.85
2010-04-12,26.55,27.45,26.9700,1.2148,0.0000,0.0000,0,27.0
2010-04-13,26.88,27.45,27.1800,1.3552,0.0000,0.0000,0,27.165
2010-04-14,26.48,27.57,27.0600,1.2016,0.0000,0.0000,0,27.025
2010-04-15,26.59,27.56,27.2000,1.3000,0.0000,0.0000,0,27.075
2010-04-16,26.76,27.66,27.5800,1.3887,0.0000,0.0000,0,27.21
2010-04-17,26.9,27.65,27.0600,1.5000,0.0000,0.0000,0,27.275
2010-04-18,27.08,27.89,27.5800,1.6950,0.0000,0.0000,0,27.485
2010-04-19,27.16,28.13,27.5100,1.7953,0.0000,0.0000,0,27.645
2010-04-20,27.32,28.1,27.9100,1.7383,0.0000,0.0000,0,27.71
2010-04-21,27.38,28.1,27.4600,1.8560,0.0000,0.0000,0,27.740000000000002
2010-04-22,27.66,28.44,28.4100,2.1333,0.3100,0.0000,1,28.05
2010-04-23,27.59,28.41,28.0600,2.0767,0.2500,0.0000,1,28.0
2010-04-24,27.05,28.39,28.3000,1.9550,0.1500,0.0000,1,27.72
2010-04-25,27.04,28.15,28.0500,1.7833,0.0000,0.0000,1,27.595
2010-04-26,27.29,28.01,27.8100,1.6403,0.0000,0.0000,1,27.65
2010-04-27,27.38,28.23,28.1400,1.7500,0.0000,0.0000,1,27.805
2010-04-28,27.35,28.38,28.2100,1.8240,0.0700,0.0000,1,27.865000000000002
2010-04-29,27.1,28.25,28.1800,1.7220,0.0000,0.0000,1,27.675
2010-04-30,27.32,28.26,27.9900,1.6200,0.0000,0.0000,1,27.79
2010-05-01,27.23,28.31,27.9700,1.6307,0.0000,0.0000,1,27.77
2010-05-02,27.04,28.26,27.7600,1.6827,0.0000,0.0000,1,27.65
2010-05-03,26.93,28.33,28.0000,1.6160,0.0000,0.0000,1,27.63
2010-05-04,26.99,28.45,28.1400,1.7573,0.0300,0.0000,1,27.72
2010-05-05,26.7,28.25,27.9200,1.5533,0.0000,0.0000,1,27.475
2010-05-06,26.77,28.3,28.1100,1.7060,0.0000,0.0000,1,27.535
2010-05-07,26.73,28.3,28.1300,1.7353,0.0200,0.0000,1,27.515
2010-05-08,26.6,28.24,28.0200,1.5903,0.0600,0.0000,1,27.42
2010-05-09,26.48,28.24,28.0500,1.5940,0.0700,0.0000,1,27.36
2010-05-10,26.93,28.36,28.1200,1.6767,0.1500,0.0000,1,27.645
2010-05-11,27.06,28.26,28.1500,1.6447,0.1300,0.0000,1,27.66
2010-05-12,27.2,28.43,28.1700,1.6830,0.2100,0.0000,1,27.814999999999998
2010-05-13,26.9,28.29,28.2500,1.7327,0.1300,0.0000,1,27.595
2010-05-14,27.23,28.32,28.1500,1.6443,0.2100,0.0000,1,27.775
2010-05-15,26.97,28.33,28.0900,1.5800,0.1700,0.0000,1,27.65
2010-05-16,27.26,28.49,28.2600,1.6855,0.2500,0.0000,1,27.875
2010-05-17,26.83,28.53,28.2100,1.6523,0.2300,0.0000,1,27.68
2010-05-18,26.66,28.38,27.9600,1.4094,0.0400,0.0000,1,27.52
2010-05-19,26.66,28.55,28.0300,1.4571,0.1100,0.0000,1,27.605
2010-05-20,26.37,28.43,28.0400,1.3623,0.0000,0.0000,1,27.4
2010-05-21,26.1,28.28,28.1900,1.4390,0.0000,0.0000,1,27.19
2010-05-22,26.47,28.12,27.9600,1.3739,0.0000,0.0000,1,27.295
2010-05-23,26.26,28.29,27.8100,1.2845,0.0000,0.0000,1,27.275
2010-05-24,26.67,28.51,28.3500,1.7235,0.2500,0.0000,1,27.590000000000003
2010-05-25,26.81,28.91,28.7900,1.9852,0.6600,0.0000,1,27.86
2010-05-26,27.03,28.74,28.5900,1.8497,0.5300,0.0000,1,27.884999999999998
2010-05-27,26.87,28.44,28.2500,1.5297,0.2600,0.0000,1,27.655
2010-05-28,27.1,28.71,28.4800,1.7271,0.4600,0.0000,1,27.905
