0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,0.69,0.73,0.76,0.8,0.85,,,,,,,,,,,,,,,,,
,0.7,0.73,,,0.83,0.87,0.91,,,,,,,,,,,,,,,,
0.72,0.75,,,,,0.89,0.92,,,,,,,,,,,,,,,,
0.76,0.78,,,,,,0.94,0.96,,,,,,,,,,,,,,,
0.79,0.82,,,,,,,0.98,0.99,0.98,,,,,,,,,,,,,
0.82,0.85,,,,,,,,1.01,0.99,0.96,,,,,,,,,,,,
0.85,0.87,,,,,,,,,,0.96,0.91,0.88,0.87,,,,,,,,,
,0.88,,,,,,,,,,,,0.87,0.86,0.86,0.87,,,,,,,
,0.87,,,,,,,,,,,,,0.85,0.85,0.86,0.88,0.93,0.97,1.02,1.06,1.08,
,0.85,0.88,0.9,0.93,0.97,0.98,0.98,0.97,,,,,,,,,,,0.92,0.96,0.99,1.01,1.01
,,,,,,,,0.94,0.93,0.91,0.89,,,,,,,,,,,0.92,0.92
,,,,,,,,,,0.89,0.87,0.84,,,,,,,,,0.83,0.84,
,,,,,,,,,,,,0.8,,,,,,,,,0.76,0.77,
,,,,,,,,,,,,0.77,0.74,,,,,,,,0.7,,
,,,,,,,,,,0.77,0.75,0.73,0.7,,,,,,,,0.63,0.63,
,,,,,,,,,0.74,0.73,,0.69,0.66,0.64,,,,,,,,0.58,
,,,,,,,,,0.69,0.68,0.67,0.65,0.63,0.61,,,,,,,,0.53,0.54
,,,,,,,,,,,0.62,0.61,,0.58,,,,,,,,0.5,0.5
,,,,,,,,,,,,,0.55,0.55,,,,,,,,0.48,0.47
,,,,,,,,,,,,0.53,0.52,,,,,,,,,0.47,0.47
,,,,,,,,,,,,0.5,0.5,,,,,,,,0.49,0.48,
,,,,,,,,,,,,,0.48,0.48,,,,0.5,0.51,0.51,0.51,,
,,,,,,,,,,,,,0.47,0.47,,,,,0.53,,,,
,,,,,,,,,,,,,,0.48,,,,,0.56,,,,
,,,,,,,,,,,,,,0.48,,,,,0.59,0.6,,,
,,,,,,,,,,,,,,0.49,,,,,0.61,0.62,,,
,,,,,,,,,,,,,,0.5,0.54,,,,,0.65,,,
,,,,,,,,,,,,,,,0.57,0.6,,,0.67,0.68,,,
,,,,,,,,,,,,,,,,0.63,0.65,0.68,0.7,,,,
,,,,,,,,,,,,,,,,,0.68,0.7,,,,,
