Date,Max,Average
20100326,,
20100327,,
20100328,,
20100329,,
20100330,,
20100331,,
20100401,,
20100402,,
20100403,,
20100404,,
20100405,,
20100406,,
20100407,,
20100408,,
20100409,,
20100410,,
20100411,,
20100412,,
20100413,,
20100414,,
20100415,,
20100416,,
20100417,,
20100418,,
20100419,,
20100420,0.02,0.009310344827586208
20100421,0.03,0.014411764705882355
20100422,0.03,0.014411764705882355
20100423,0.03,0.014411764705882355
20100424,0.03,0.014411764705882355
20100425,0.03,0.014705882352941176
20100426,0.03,0.015588235294117648
20100427,0.03,0.015588235294117648
20100428,0.03,0.015588235294117648
20100429,0.03,0.015588235294117648
20100430,0.03,0.015588235294117648
20100501,0.03,0.010000000000000002
20100502,0.04,0.010500000000000002
20100503,0.04,0.010500000000000002
20100504,0.04,0.015211267605633804
20100505,0.04,0.015211267605633804
20100506,0.04,0.015211267605633804
20100507,0.04,0.015211267605633804
20100508,0.04,0.015211267605633804
20100509,0.04,0.015211267605633804
20100510,0.05,0.017767857142857144
20100511,0.08,0.04465517241379312
20100512,0.12,0.06767241379310344
20100513,0.16,0.08848000000000002
20100514,0.16,0.08848000000000002
20100515,0.16,0.08848000000000002
20100516,0.16,0.08848000000000002
20100517,0.16,0.08848000000000002
20100518,0.16,0.08848000000000002
20100519,0.16,0.08848000000000002
20100520,0.16,0.08848000000000002
20100521,0.16,0.08848000000000002
20100522,0.16,0.08848000000000002
20100523,0.16,0.08657534246575344
20100524,0.16,0.09746575342465753
20100525,0.16,0.10636986301369863
20100526,0.16,0.10828767123287673
20100527,0.16,0.10828767123287673
20100528,0.27,0.2117808219178082
20100529,0.35,0.275958904109589
20100530,0.43,0.3232876712328767
20100531,0.54,0.3771917808219178
20100601,0.57,0.39034246575342474
20100602,0.6,0.39390410958904115
20100603,0.61,0.4181506849315069
20100604,0.61,0.4699315068493152
20100605,0.61,0.5021232876712329
20100606,0.65,0.5283561643835616
20100607,0.73,0.5995890410958904
20100608,0.8,0.6641780821917808
20100609,0.88,0.7336986301369863
20100610,0.95,0.7983561643835616
20100611,1.04,0.8760958904109589
20100612,1.14,0.9558904109589041
20100613,1.23,1.0354794520547945
20100614,1.27,1.0591095890410958
20100615,1.28,1.0682191780821917
20100616,1.29,1.0823972602739727
20100617,1.32,1.1
20100618,1.39,1.161232876712329
20100619,1.48,1.2315753424657534
20100620,1.58,1.2882876712328766
20100621,1.63,1.3220547945205479
20100622,1.72,1.3726027397260276
20100623,1.81,1.423013698630137
20100624,1.84,1.455958904109589
20100625,1.86,1.4787671232876713
20100626,1.94,1.55513698630137
20100627,2.04,1.643835616438356
20100628,2.08,1.6702054794520547
20100629,2.09,1.6741780821917809
20100630,2.09,1.6741780821917809
20100701,2.09,1.6756849315068494
20100702,2.09,1.6764383561643836
20100703,2.09,1.6793150684931508
20100704,2.09,1.6888356164383562
20100705,2.17,1.779041095890411
20100706,2.28,1.8923287671232876
20100707,2.39,2.0044520547945206
20100708,2.39,2.010068493150685
20100709,2.39,2.014041095890411
